Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_21,-7.21818,0.344763,C[C@H]1C[C@@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)n[nH+]2)CN(C(=O)[C@@H](C)CN)C1,-9.4,302.6824461,0.76,(Gen_1_Mutant_48_781330+ZINC000000895531)Gen_2_Mutant_13_449833,Gen_2_Mutant_13_449833,Gen_2_Mutant_13_449833__1
ligand_22,-7.07879,0.418336,O=C1O[C@@H](C(=O)N[C@@H]2CCC[C@@]3(n4cnnn4)CCCC[C@H]23)Cc2ccccc21,-9.3,320.7707887,0.798,(Gen_2_Cross_258947+Gen_1_Cross_215214)Gen_3_Cross_479380,Gen_3_Cross_479380,Gen_3_Cross_479380__1
ligand_23,-7.05455,0.425043,CC1=CCC[C@@H]2C[C@@](C)([C@H]3[N-]C(=O)[C@@H]4C[C@H]5CCCC[C@H]5C[C@@H]4[NH2+]3)OC(=O)[C@@H]12,-9.2,209.0317378,0.678,(Gen_4_Cross_96438+Gen_3_Cross_186115)Gen_5_Cross_140099,Gen_5_Cross_140099,Gen_5_Cross_140099__2
ligand_24,-7.07071,0.361605,C=C1CC[C@H](/[NH+]=c2\[nH][n-]c3ncccc23)[C@H](C)[C@H]1C(=O)N1CC[C@@H](C([NH-])=O)C1,-8.9,257.2163473,0.74,(Gen_4_Cross_920477+ZINC000019517408)Gen_5_Mutant_23_87818,Gen_5_Mutant_23_87818,Gen_5_Mutant_23_87818__1
ligand_25,-7.14848,0.354869,Cc1ccnn1-c1ccc(Cl)c(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-8.6,323.1777913,0.681,(Gen_4_Cross_287331+Gen_4_Cross_512364)Gen_5_Cross_842247,Gen_5_Cross_842247,Gen_5_Cross_842247__1
ligand_26,-7.49798,0.44061,C[C@@H]1C[C@H](c2cn(/C=C/[C@@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/[NH2+]C(C)(C)CO2)C1,-8.6,281.5524019,0.671,(Gen_4_Cross_165080+Gen_3_Cross_686284)Gen_5_Cross_113464,Gen_5_Cross_113464,Gen_5_Cross_113464__1
ligand_27,-6.81616,0.564382,O=C1O[C@@H](/C=C(/O)Nc2cccc(-n3cn[nH+]n3)c2)c2ccccc21,-8.5,291.5196199,0.731,(Gen_3_Cross_691039+Gen_4_Cross_246091)Gen_5_Cross_447516,Gen_5_Cross_447516,Gen_5_Cross_447516__5
ligand_28,-6.87172,0.427357,O=C(C[C@@H]1OC(=O)c2ccccc21)[N-]c1ccc2c(c1)CCCC2,-8.5,329.5554413,0.875,(Gen_4_Cross_545134+Gen_3_Cross_888119)Gen_5_Cross_883131,Gen_5_Cross_883131,Gen_5_Cross_883131__3
ligand_29,-6.7798,0.35476,C#CC1(O)CN(C[C@@]2(C)Cc3cc(=C)ccc3=C(O[C@@H](C#N)c3ccccc3)O2)C1,-8.4,297.5529754,0.77,(Gen_4_Cross_762749+Gen_1_Mutant_19_270038)Gen_5_Cross_600586,Gen_5_Cross_600586,Gen_5_Cross_600586__1
ligand_30,-6.45051,0.400599,CC1=CCC[C@@H](C)[C@H]1C(=O)N1CC[C@@H]2C[N@H+]([C@H]3C=C([O-])[C@H](C)C[C@H]3C)[C@@H]2C1,-8.4,196.346168,0.743,(Gen_4_Mutant_66_919980+Gen_4_Cross_900396)Gen_5_Cross_616615,Gen_5_Cross_616615,Gen_5_Cross_616615__4
ligand_31,-6.52929,0.485185,CC(C)/C(C#N)=[N+]1/CN(CCC[n+]2ncn([C@H]3CCC[C@@]4([NH3+])CCCC[C@H]34)n2)CN1,-8.4,180.4748864,0.67,(Gen_4_Mutant_23_856313+Gen_4_Mutant_7_822875)Gen_5_Cross_588750,Gen_5_Cross_588750,Gen_5_Cross_588750__1
